"country","indicator","debt_2022"
"Afghanistan","Debt service on external debt, general government sector (PPG) (TDS, current US$)","124618933"
"Afghanistan","Debt service on external debt, long-term (TDS, current US$)","129878140.5"
"Afghanistan","Debt service on external debt, private nonguaranteed (PNG) (TDS, current US$)","5259207.5"
"Afghanistan","Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)","124618933"
"Afghanistan","Debt service on external debt, public sector (PPG) (TDS, current US$)","124618933"
"Afghanistan","Debt service on external debt, total (TDS, current US$)","135126617.4"
"Afghanistan","Disbursements on external debt, long-term (DIS, current US$)","86345588.6"
"Afghanistan","Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)","86345588.6"
"Afghanistan","GG, bilateral (AMT, current US$)","48798008.9"
"Afghanistan","GG, bilateral (INT, current US$)","22810263.4"
"Afghanistan","GG, bilateral (TDS, current US$)","71608272.3"
"Afghanistan","GG, multilateral (AMT, current US$)","40998128"
"Afghanistan","GG, multilateral (INT, current US$)","12012532.7"
"Afghanistan","GG, multilateral (TDS, current US$)","53010660.7"
"Afghanistan","GG, official creditors (AMT, current US$)","89796136.9"
"Afghanistan","GG, official creditors (INT, current US$)","34822796.1"
"Afghanistan","GG, official creditors (TDS, current US$)","124618933"
"Afghanistan","Interest payments on external debt, general government sector (PPG) (INT, current US$)","34822796.1"
"Afghanistan","Interest payments on external debt, long-term (INT, current US$)","35462796.1"
"Afghanistan","Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)","640000"
"Afghanistan","Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)","34822796.1"
"Afghanistan","Interest payments on external debt, public sector (PPG) (INT, current US$)","34822796.1"
"Afghanistan","Multilateral debt service (TDS, current US$)","53010660.7"
"Afghanistan","PNG, commercial banks and other creditors (AMT, current US$)","4619207.5"
"Afghanistan","PNG, commercial banks and other creditors (INT, current US$)","640000"
"Afghanistan","PNG, commercial banks and other creditors (TDS, current US$)","5259207.5"
"Afghanistan","PPG, bilateral (AMT, current US$)","48798008.9"
"Afghanistan","PPG, bilateral (DIS, current US$)","76902417.1"
"Afghanistan","PPG, bilateral (INT, current US$)","22810263.4"
"Afghanistan","PPG, bilateral (TDS, current US$)","71608272.3"
"Afghanistan","PPG, bilateral concessional (AMT, current US$)","3249056.6"
"Afghanistan","PPG, bilateral concessional (INT, current US$)","112396.7"
"Afghanistan","PPG, bilateral concessional (TDS, current US$)","3361453.3"
"Afghanistan","PPG, multilateral (AMT, current US$)","40998128"
"Afghanistan","PPG, multilateral (DIS, current US$)","9443171.5"
"Afghanistan","PPG, multilateral (INT, current US$)","12012532.7"
"Afghanistan","PPG, official creditors (AMT, current US$)","89796136.9"
"Afghanistan","PPG, official creditors (DIS, current US$)","86345588.6"
"Afghanistan","PPG, official creditors (INT, current US$)","34822796.1"
"Afghanistan","Principal repayments on external debt, general government sector (PPG) (AMT, current US$)","89796136.9"
"Afghanistan","Principal repayments on external debt, long-term (AMT, current US$)","94415344.4"
"Afghanistan","Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)","4619207.5"
"Afghanistan","Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)","89796136.9"
"Afghanistan","PS, bilateral (AMT, current US$)","48798008.9"
"Afghanistan","PS, bilateral (INT, current US$)","22810263.4"
"Afghanistan","PS, bilateral (TDS, current US$)","71608272.3"
"Albania","Debt service on external debt, general government sector (PPG) (TDS, current US$)","480765754.8"
"Albania","Debt service on external debt, long-term (TDS, current US$)","1819109220"
"Albania","Debt service on external debt, other public sector (PPG) (TDS, current US$)","50580978.3"
"Albania","Debt service on external debt, private nonguaranteed (PNG) (TDS, current US$)","1286283997"
