"country_name","debt_change_percentage"
"Europe & Central Asia (excluding high income)","496815.41"
"Europe & Central Asia (excluding high income)","491287.50"
"Central African Republic","383455.87"
"Lao PDR","377465.52"
"Turkiye","272210.60"
"Turkiye","272210.60"
"Turkiye","268557.53"
"Lebanon","213889.19"
"Lebanon","213889.19"
"Lebanon","213889.19"
"Turkiye","122435.12"
"Turkiye","122435.12"
"El Salvador","117623.40"
"El Salvador","117623.40"
"El Salvador","117623.40"
"Bolivia","89781.43"
"Central African Republic","89438.67"
"Bulgaria","79485.29"
"Bulgaria","79485.29"
"Bulgaria","79485.29"
"Bolivia","75841.90"
"Bolivia","75841.90"
"Lebanon","55903.01"
"Cote d'Ivoire","43403.60"
"Lao PDR","36106.89"
"Fiji","32616.00"
"Fiji","32616.00"
"Lao PDR","31487.48"
"Lao PDR","31487.48"
"Liberia","31201.78"
"Cameroon","24735.05"
"El Salvador","24436.62"
"Syrian Arab Republic","23014.60"
"Gambia, The","22564.94"
"Moldova","21465.60"
"Madagascar","20541.99"
"Guatemala","18640.25"
"Guatemala","18640.25"
"Guatemala","18640.25"
"Tonga","18114.63"
"Tonga","18114.63"
"Tonga","18114.63"
"Cameroon","16713.20"
"Cote d'Ivoire","16573.07"
"Honduras","15127.63"
"Lebanon","11596.24"
"Lebanon","11596.24"
"Lebanon","11596.24"
"Ethiopia","11091.13"
"Honduras","10723.94"
"Honduras","10723.94"
"Maldives","10624.96"
"Ecuador","10511.41"
"Ecuador","10511.41"
"Ukraine","9667.29"
"Cabo Verde","8346.43"
"Cabo Verde","8346.43"
"Samoa","8343.36"
"Samoa","8343.36"
"Samoa","8343.36"
"Paraguay","7764.33"
"Zambia","7541.77"
"Europe & Central Asia (excluding high income)","7256.12"
"Europe & Central Asia (excluding high income)","7256.12"
"Kazakhstan","7169.70"
"Albania","7163.47"
"Europe & Central Asia (excluding high income)","7001.77"
"Gambia, The","6478.97"
"Mozambique","6280.22"
"Mozambique","6280.22"
"Djibouti","6275.45"
"Djibouti","6275.45"
"Burkina Faso","6228.01"
"Burkina Faso","6228.01"
"Fiji","6200.22"
"Fiji","6200.22"
"Fiji","6200.22"
"Egypt, Arab Rep.","6158.33"
"Egypt, Arab Rep.","6155.56"
"Zambia","6097.43"
"Lebanon","6088.93"
"Lebanon","6088.93"
"Lebanon","6088.93"
"Cabo Verde","6005.04"
"Cabo Verde","6005.04"
"Cabo Verde","6005.04"
"Cabo Verde","6005.04"
"Cabo Verde","6005.04"
"Cabo Verde","6005.04"
"IDA only","5981.11"
"IDA only","5981.11"
"Tanzania","5720.54"
"Tanzania","5720.54"
"Turkiye","5399.35"
"Bolivia","5331.85"
"Bolivia","5331.85"
"Djibouti","5218.93"
"Mozambique","4588.48"
"Mozambique","4588.48"
"Pakistan","4462.46"
"North Macedonia","4181.64"
"North Macedonia","4181.64"
"Yemen, Rep.","4133.64"
"Yemen, Rep.","4133.64"
"Yemen, Rep.","4133.64"
"Costa Rica","4113.77"
"Lebanon","4106.76"
"Lebanon","4106.76"
"Lebanon","4106.76"
"Haiti","3835.97"
"Haiti","3835.97"
"Haiti","3825.89"
"Zimbabwe","3824.72"
"Zimbabwe","3824.72"
"Haiti","3792.09"
"Haiti","3792.09"
"Haiti","3775.74"
"Indonesia","3707.00"
"Central African Republic","3682.91"
"Haiti","3560.65"
"Haiti","3560.65"
"Guatemala","3521.08"
"Guatemala","3521.08"
"Haiti","3508.57"
"Lao PDR","3473.34"
"Guinea","3461.26"
"Rwanda","3433.57"
"Rwanda","3433.57"
"Burundi","3341.57"
"Burundi","3341.57"
"Burundi","3341.57"
"Yemen, Rep.","3149.53"
"Somalia","3135.28"
"Somalia","3135.28"
"Georgia","3128.10"
"Angola","3093.23"
"Somalia","3090.47"
"Somalia","3090.47"
"Somalia","3090.47"
"Somalia","3090.47"
"Somalia","3090.47"
"Peru","2800.31"
"Pakistan","2754.43"
"Sao Tome and Principe","2729.78"
"Central African Republic","2691.04"
"Central African Republic","2691.04"
"Pakistan","2657.72"
"Cote d'Ivoire","2651.40"
"Belize","2647.56"
"Belize","2647.56"
"Belize","2647.56"
"Sao Tome and Principe","2633.33"
"Sao Tome and Principe","2633.33"
"Sao Tome and Principe","2627.09"
"Serbia","2486.86"
"Serbia","2486.86"
"Serbia","2486.86"
"Timor-Leste","2441.39"
"Timor-Leste","2441.39"
"Timor-Leste","2441.39"
"Timor-Leste","2441.39"
"Mongolia","2311.67"
"Zambia","2287.64"
"Zambia","2287.64"
"Zambia","2287.64"
"Moldova","2250.55"
"Pakistan","2245.45"
"Pakistan","2245.45"
"Nepal","2237.13"
"Nepal","2237.13"
"Zambia","2220.95"
"Zambia","2220.95"
"Zambia","2220.95"
"Indonesia","2204.35"
"Kenya","2182.58"
"Kenya","2182.58"
"Kenya","2182.58"
"Lebanon","2167.99"
"Mauritius","2144.44"
"Egypt, Arab Rep.","2102.00"
"Tonga","2097.99"
"Tonga","2097.99"
"Tonga","2097.99"
"Egypt, Arab Rep.","2092.53"
"Egypt, Arab Rep.","2092.53"
"Dominica","2063.17"
"Jordan","2030.31"
"Jordan","2030.31"
"Jordan","2030.31"
"Dominica","2020.96"
"Comoros","1962.93"
"Comoros","1962.93"
"Comoros","1962.93"
"Tanzania","1881.68"
"Tanzania","1881.68"
"Peru","1811.48"
"Cabo Verde","1787.85"
"Haiti","1770.21"
"Bolivia","1768.52"
"Bolivia","1768.52"
"Dominica","1757.32"
"Dominica","1757.32"
"Zambia","1746.84"
"Zambia","1746.84"
"Zambia","1746.84"
"Tunisia","1742.39"
"Mauritius","1738.05"
"Ghana","1732.48"
"Dominica","1731.53"
"Dominica","1731.53"
"Guatemala","1715.12"
"Haiti","1703.91"
"Europe & Central Asia (excluding high income)","1694.75"
"Europe & Central Asia (excluding high income)","1694.75"
"Angola","1682.58"
"Tunisia","1681.21"
"Pakistan","1678.13"
"Lebanon","1653.54"
"Lebanon","1653.54"
"Lebanon","1653.54"
"Central African Republic","1626.83"
"Central African Republic","1626.83"
"South Asia","1626.33"
"South Asia","1626.33"
"Ethiopia","1626.29"
"Ethiopia","1597.13"
"Egypt, Arab Rep.","1574.25"
"Egypt, Arab Rep.","1573.54"
"Zambia","1563.05"
"Zambia","1563.05"
"Zambia","1563.05"
"Moldova","1552.00"
"Comoros","1541.50"
"Comoros","1541.50"
"Comoros","1541.50"
"Niger","1536.35"
"Zimbabwe","1524.22"
"Lebanon","1496.72"
"Kosovo","1491.19"
"Argentina","1489.30"
"Morocco","1470.01"
"Zambia","1463.19"
"Zambia","1429.77"
"Ethiopia","1415.31"
"Haiti","1405.37"
"Djibouti","1396.52"
"Djibouti","1396.52"
"Solomon Islands","1395.10"
"Solomon Islands","1395.10"
"Solomon Islands","1374.75"
"Solomon Islands","1374.75"
"Myanmar","1367.56"
"Bolivia","1361.76"
"Bolivia","1361.76"
"Bolivia","1361.76"
"Algeria","1353.94"
"Algeria","1353.94"
"Low income","1344.53"
"Tanzania","1333.27"
"Tanzania","1333.27"
"Albania","1331.22"
"North Macedonia","1330.73"
"Belize","1323.26"
"Belize","1323.26"
"Belize","1323.26"
"Cabo Verde","1320.65"
"Cabo Verde","1320.65"
"Cabo Verde","1320.65"
"Cabo Verde","1320.65"
"Cabo Verde","1320.65"
"Cabo Verde","1320.65"
"Haiti","1306.24"
"Congo, Dem. Rep.","1278.58"
"Zambia","1276.95"
"Zambia","1276.95"
"Zambia","1276.95"
"Solomon Islands","1260.57"
"Solomon Islands","1260.57"
"Albania","1252.82"
"Ethiopia","1237.73"
"Haiti","1221.17"
"Haiti","1221.17"
"Argentina","1198.70"
"Iran, Islamic Rep.","1197.22"
"Dominica","1196.75"
