Table,Field,Description
IDS_ALLCountries_Data,Country Name,Country names
IDS_ALLCountries_Data,Country Code,3 letter country codes
IDS_ALLCountries_Data,Counterpart-Area Name,counterpart name
IDS_ALLCountries_Data,Counterpart-Area Code,counterpart code
IDS_ALLCountries_Data,Series Name,series/indicator name
IDS_ALLCountries_Data,Series Code,series/indicator code
IDS_ALLCountries_Data,1970,
IDS_ALLCountries_Data,1971,
IDS_ALLCountries_Data,1972,
IDS_ALLCountries_Data,1973,
IDS_ALLCountries_Data,1974,
IDS_ALLCountries_Data,1975,
IDS_ALLCountries_Data,1976,
IDS_ALLCountries_Data,1977,
IDS_ALLCountries_Data,1978,
IDS_ALLCountries_Data,1979,
IDS_ALLCountries_Data,1980,
IDS_ALLCountries_Data,1981,
IDS_ALLCountries_Data,1982,
IDS_ALLCountries_Data,1983,
IDS_ALLCountries_Data,1984,
IDS_ALLCountries_Data,1985,
IDS_ALLCountries_Data,1986,
IDS_ALLCountries_Data,1987,
IDS_ALLCountries_Data,1988,
IDS_ALLCountries_Data,1989,
IDS_ALLCountries_Data,1990,
IDS_ALLCountries_Data,1991,
IDS_ALLCountries_Data,1992,
IDS_ALLCountries_Data,1993,
IDS_ALLCountries_Data,1994,
IDS_ALLCountries_Data,1995,
IDS_ALLCountries_Data,1996,
IDS_ALLCountries_Data,1997,
IDS_ALLCountries_Data,1998,
IDS_ALLCountries_Data,1999,
IDS_ALLCountries_Data,2000,
IDS_ALLCountries_Data,2001,
IDS_ALLCountries_Data,2002,
IDS_ALLCountries_Data,2003,
IDS_ALLCountries_Data,2004,
IDS_ALLCountries_Data,2005,
IDS_ALLCountries_Data,2006,
IDS_ALLCountries_Data,2007,
IDS_ALLCountries_Data,2008,
IDS_ALLCountries_Data,2009,
IDS_ALLCountries_Data,2010,
IDS_ALLCountries_Data,2011,
IDS_ALLCountries_Data,2012,
IDS_ALLCountries_Data,2013,
IDS_ALLCountries_Data,2014,
IDS_ALLCountries_Data,2015,
IDS_ALLCountries_Data,2016,
IDS_ALLCountries_Data,2017,
IDS_ALLCountries_Data,2018,
IDS_ALLCountries_Data,2019,
IDS_ALLCountries_Data,2020,
IDS_ALLCountries_Data,2021,
IDS_ALLCountries_Data,2022,
IDS_ALLCountries_Data,2023,
IDS_ALLCountries_Data,2024,
IDS_ALLCountries_Data,2025,
IDS_ALLCountries_Data,2026,
IDS_ALLCountries_Data,2027,
IDS_ALLCountries_Data,2028,
IDS_ALLCountries_Data,2029,
IDS_CountryMetaData,Code,
IDS_CountryMetaData,Long Name,
IDS_CountryMetaData,Income Group,
IDS_CountryMetaData,Region,
IDS_CountryMetaData,Lending category,
IDS_CountryMetaData,Other groups,
IDS_CountryMetaData,Currency Unit,
IDS_CountryMetaData,Latest population census,
IDS_CountryMetaData,Latest household survey,
IDS_CountryMetaData,Special Notes,
IDS_CountryMetaData,National accounts base year,
IDS_CountryMetaData,National accounts reference year,
IDS_CountryMetaData,System of National Accounts,
IDS_CountryMetaData,SNA price valuation,
IDS_CountryMetaData,PPP survey years,
IDS_CountryMetaData,Balance of Payments Manual in use,
IDS_CountryMetaData,External debt Reporting status,
IDS_CountryMetaData,System of trade,
IDS_CountryMetaData,Government Accounting concept,
IDS_CountryMetaData,IMF data dissemination standard,
IDS_CountryMetaData,Source of most recent Income and expenditure data,
IDS_CountryMetaData,Vital registration complete,
IDS_CountryMetaData,Latest agricultural census,
IDS_CountryMetaData,Latest industrial data,
IDS_CountryMetaData,Latest trade data,
IDS_CountryMetaData,Latest water withdrawal data,
IDS_CountryMetaData,2-alpha code,
IDS_CountryMetaData,WB-2 code,
IDS_CountryMetaData,Table Name,
IDS_CountryMetaData,Short Name,
IDS_Country-SeriesMetaData,Type,
IDS_Country-SeriesMetaData,Country Code,
IDS_Country-SeriesMetaData,Series Code,
IDS_Country-SeriesMetaData,Description,
IDS_Footnotes,Type,
IDS_Footnotes,Country Code,
IDS_Footnotes,Series Code,
IDS_Footnotes,Time Code,
IDS_Footnotes,Description,
IDS_SeriesMetaData,Code,
IDS_SeriesMetaData,License Type,
IDS_SeriesMetaData,Indicator Name,
IDS_SeriesMetaData,Short definition,
IDS_SeriesMetaData,Long definition,
IDS_SeriesMetaData,Source,
IDS_SeriesMetaData,Topic,
IDS_SeriesMetaData,Dataset,
IDS_SeriesMetaData,Periodicity,
IDS_SeriesMetaData,Aggregation method,
IDS_SeriesMetaData,General comments,
